date,latitude,longitude,avg_temp,min_temp,max_temp,method
2025-09-15,57.091568,23.291779,12.1,11.0,14.4,actual
2025-09-16,57.091568,23.291779,11.0,10.2,11.8,actual
2025-09-17,57.091568,23.291779,11.1,10.5,12.1,actual
2025-09-18,57.091568,23.291779,12.0,11.7,12.6,actual
2025-09-19,57.091568,23.291779,12.1,12.0,12.4,actual
2025-09-20,57.091568,23.291779,12.4,12.2,12.7,actual
2025-09-21,57.091568,23.291779,12.8,12.4,13.3,actual
2025-09-22,57.091568,23.291779,12.3,12.0,13.1,actual
2025-09-23,57.091568,23.291779,11.8,11.6,12.0,actual
2025-09-24,57.091568,23.291779,11.6,11.5,11.7,actual
2025-09-25,57.091568,23.291779,11.8,11.6,12.2,actual
2025-09-26,57.091568,23.291779,12.4,12.0,13.1,actual
2025-09-27,57.091568,23.291779,12.9,12.6,13.4,actual
2025-09-28,57.091568,23.291779,13.7,13.5,14.0,actual
2025-09-29,57.091568,23.291779,12.8,12.4,13.8,actual
2025-09-30,57.091568,23.291779,12.7,12.4,12.9,actual
2025-10-01,57.091568,23.291779,12.7,12.6,12.8,actual
2025-10-02,57.091568,23.291779,12.3,12.2,12.5,actual
2025-10-03,57.091568,23.291779,12.1,11.9,12.2,actual
2025-10-04,57.091568,23.291779,11.8,11.7,12.0,actual
2025-10-05,57.091568,23.291779,12.2,12.0,12.3,actual
2025-10-06,57.091568,23.291779,12.3,12.2,12.4,actual
2025-10-07,57.091568,23.291779,12.2,12.1,12.4,actual
2025-10-08,57.091568,23.291779,12.0,11.8,12.2,actual
2025-10-09,57.091568,23.291779,12.2,12.1,12.3,actual
2025-10-10,57.091568,23.291779,11.9,11.7,12.1,actual
2025-10-11,57.091568,23.291779,11.6,11.5,11.7,actual
2025-10-12,57.091568,23.291779,11.5,11.4,11.6,actual
2025-10-13,57.091568,23.291779,11.7,11.6,11.7,actual
2025-10-14,57.091568,23.291779,11.6,11.5,11.7,actual
2025-10-15,57.091568,23.291779,11.6,11.5,11.6,actual
2025-10-16,57.091568,23.291779,11.6,11.6,11.7,actual
2025-10-17,57.091568,23.291779,11.6,11.6,11.7,actual
2025-10-18,57.091568,23.291779,11.5,11.4,11.6,actual
2025-10-19,57.091568,23.291779,11.2,11.1,11.4,actual
2025-10-20,57.091568,23.291779,11.2,11.2,11.3,actual
2025-10-21,57.091568,23.291779,11.1,10.9,11.2,actual
2025-10-22,57.091568,23.291779,10.9,10.8,11.0,actual
2025-10-23,57.091568,23.291779,10.8,10.7,10.9,actual
2025-10-24,57.091568,23.291779,10.7,10.6,10.7,actual
2025-10-25,57.091568,23.291779,10.7,10.6,10.7,actual
2025-10-26,57.091568,23.291779,10.4,10.3,10.6,actual
2025-10-27,57.091568,23.291779,10.4,10.2,10.5,actual
2025-10-28,57.091568,23.291779,10.4,10.3,10.4,actual
2025-10-29,57.091568,23.291779,10.2,10.1,10.3,actual
2025-10-30,57.091568,23.291779,10.0,10.0,10.1,actual
2025-10-31,57.091568,23.291779,10.0,10.0,10.1,actual
2025-11-01,57.091568,23.291779,10.0,9.9,10.0,actual
2025-11-02,57.091568,23.291779,9.8,9.8,9.9,actual
2025-11-03,57.091568,23.291779,9.8,9.7,9.8,actual
2025-11-04,57.091568,23.291779,9.6,9.6,9.7,actual
2025-11-05,57.091568,23.291779,9.7,9.6,9.7,actual
2025-11-06,57.091568,23.291779,9.7,9.7,9.7,actual
2025-11-07,57.091568,23.291779,9.7,9.6,9.7,actual
2025-11-08,57.091568,23.291779,9.6,9.5,9.6,actual
2025-11-09,57.091568,23.291779,9.5,9.5,9.5,actual
2025-11-10,57.091568,23.291779,9.5,9.4,9.5,actual
2025-11-11,57.091568,23.291779,9.4,9.3,9.4,actual
2025-11-12,57.091568,23.291779,9.3,9.3,9.4,actual
2025-11-13,57.091568,23.291779,9.4,9.3,9.4,actual
2025-11-14,57.091568,23.291779,9.2,8.9,9.3,actual
2025-11-15,57.091568,23.291779,8.5,8.1,8.8,actual
2025-11-16,57.091568,23.291779,7.9,7.8,8.1,actual
2025-11-17,57.091568,23.291779,7.7,7.6,7.7,actual
2025-11-18,57.091568,23.291779,7.0,6.5,7.6,actual
2025-11-19,57.091568,23.291779,6.5,6.3,6.6,actual
2025-11-20,57.091568,23.291779,6.6,6.6,6.6,actual
2025-11-21,57.091568,23.291779,6.7,6.6,6.7,actual
2025-11-22,57.091568,23.291779,6.3,6.0,6.7,actual
2025-11-23,57.091568,23.291779,5.8,5.8,6.0,actual
2025-11-24,57.091568,23.291779,6.0,5.8,6.0,actual
2025-11-25,57.091568,23.291779,6.1,6.0,6.2,actual
2025-11-26,57.091568,23.291779,6.0,5.7,6.2,actual
2025-11-27,57.091568,23.291779,5.4,5.2,5.6,actual
2025-11-28,57.091568,23.291779,5.4,5.2,5.7,actual
2025-11-29,57.091568,23.291779,5.9,5.7,6.1,actual
2025-11-30,57.091568,23.291779,6.2,6.1,6.3,actual
2025-12-01,57.091568,23.291779,6.2,6.0,6.3,actual
2025-12-02,57.091568,23.291779,5.9,5.8,6.0,actual
2025-12-03,57.091568,23.291779,5.9,5.8,6.1,actual
2025-12-04,57.091568,23.291779,6.2,6.1,6.3,actual
2025-12-05,57.091568,23.291779,6.3,6.3,6.4,actual
2025-12-06,57.091568,23.291779,6.5,6.4,6.6,actual
2025-12-07,57.091568,23.291779,6.6,6.5,6.6,actual
2025-12-08,57.091568,23.291779,6.4,6.4,6.5,actual
2025-12-09,57.091568,23.291779,6.5,6.4,6.5,actual
2025-12-10,57.091568,23.291779,6.4,6.3,6.4,actual
2025-12-11,57.091568,23.291779,6.4,6.4,6.4,actual
2025-12-12,57.091568,23.291779,6.3,6.1,6.4,actual
2025-12-13,57.091568,23.291779,5.9,5.7,6.1,actual
2025-12-14,57.091568,23.291779,5.6,5.6,5.6,actual
2025-12-15,57.091568,23.291779,5.6,5.6,5.6,actual
2025-12-16,57.091568,23.291779,5.6,5.5,5.6,actual
2025-12-17,57.091568,23.291779,5.7,5.6,5.7,actual
2025-12-18,57.091568,23.291779,5.8,5.7,5.8,actual
2025-12-19,57.091568,23.291779,5.8,5.8,5.9,actual
2025-12-20,57.091568,23.291779,5.9,5.9,6.0,actual
2025-12-21,57.091568,23.291779,5.7,5.5,5.9,actual
2025-12-22,57.091568,23.291779,5.4,5.2,5.5,actual
2025-12-23,57.091568,23.291779,4.9,4.6,5.2,actual
2025-12-24,57.091568,23.291779,4.5,4.4,4.6,actual
2025-12-25,57.091568,23.291779,4.0,3.7,4.4,actual
2025-12-26,57.091568,23.291779,4.0,3.7,4.4,actual
2025-12-27,57.091568,23.291779,4.3,4.2,4.4,actual
2025-12-28,57.091568,23.291779,4.1,4.0,4.2,actual
2025-12-29,57.091568,23.291779,4.1,4.1,4.2,actual
2025-12-30,57.091568,23.291779,4.0,3.8,4.2,actual
2025-12-31,57.091568,23.291779,3.3,2.8,3.8,actual
2026-01-01,57.091568,23.291779,2.5,2.3,2.8,actual
2026-01-02,57.091568,23.291779,2.7,2.5,2.9,actual
2026-01-03,57.091568,23.291779,2.9,2.8,2.9,actual
2026-01-04,57.091568,23.291779,2.6,2.4,2.8,actual
2026-01-05,57.091568,23.291779,2.2,2.0,2.4,actual
2026-01-06,57.091568,23.291779,2.3,2.1,2.4,actual
2026-01-07,57.091568,23.291779,2.3,2.2,2.4,actual
2026-01-08,57.091568,23.291779,2.0,1.7,2.2,actual
2026-01-09,57.091568,23.291779,1.0,0.3,1.6,actual
2026-01-10,57.091568,23.291779,0.4,0.3,0.4,actual
2026-01-11,57.091568,23.291779,0.3,0.3,0.4,actual
2026-01-12,57.091568,23.291779,0.2,0.0,0.4,actual
2026-01-13,57.091568,23.291779,-0.2,-0.3,0.0,actual
2026-01-14,57.091568,23.291779,0.0,-0.2,0.3,actual
2026-01-15,57.091568,23.291779,0.3,0.2,0.4,actual
2026-01-16,57.091568,23.291779,0.0,-0.0,0.2,actual
2026-01-17,57.091568,23.291779,0.2,0.0,0.4,actual
2026-01-18,57.091568,23.291779,0.5,0.3,0.8,actual
2026-01-19,57.091568,23.291779,0.9,0.7,1.1,actual
2026-01-20,57.091568,23.291779,-0.1,-0.3,0.7,actual
2026-01-21,57.091568,23.291779,0.5,-0.3,1.3,actual
2026-01-22,57.091568,23.291779,0.3,0.1,1.3,actual
2026-01-23,57.091568,23.291779,1.3,0.0,1.6,actual
2026-01-24,57.091568,23.291779,1.4,1.1,1.5,actual
2026-01-25,57.091568,23.291779,1.0,0.8,1.2,actual
2026-01-26,57.091568,23.291779,1.4,1.3,1.5,actual
2026-01-27,57.091568,23.291779,0.8,0.3,1.2,actual
2026-01-28,57.091568,23.291779,0.1,-0.2,0.4,actual
2026-01-29,57.091568,23.291779,-0.3,-0.3,-0.2,actual
2026-01-30,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-01-31,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-01,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-02,57.091568,23.291779,-0.3,-0.3,-0.2,actual
2026-02-03,57.091568,23.291779,-0.3,-0.3,-0.2,actual
2026-02-04,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-05,57.091568,23.291779,-0.3,-0.4,-0.3,actual
2026-02-06,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-07,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-08,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-09,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-10,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-11,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-12,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-13,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-14,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-15,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-16,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-17,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-18,57.091568,23.291779,-0.3,-0.3,-0.3,actual
2026-02-19,57.091568,23.291779,-0.3,-0.3,-0.2,actual
2026-02-20,57.091568,23.291779,-0.2,-0.3,-0.2,forecast
2026-02-21,57.091568,23.291779,-0.1,-0.3,0.1,forecast
2026-02-22,57.091568,23.291779,0.3,0.1,0.6,forecast
2026-02-23,57.091568,23.291779,0.8,0.6,0.9,forecast
2026-02-24,57.091568,23.291779,0.9,0.8,0.9,forecast
2026-02-25,57.091568,23.291779,0.8,0.5,0.9,forecast
