time,air_temperature,wind_speed,wind_gust,humidity,precip_min,precip_max,precip,precip_symbols,wind_direction_deg,period,wind_direction,date,method
2026-05-16T03:00:00+03:00,11.1,3.1,0.0,81.0,0.0,0.0,0.0,,148.2,night,SE,2026-05-16,actual
2026-05-16T09:00:00+03:00,13.8,2.6,0.0,79.0,0.0,0.0,0.0,,154.2,day,SE,2026-05-16,actual
2026-05-16T15:00:00+03:00,16.5,3.1,0.0,68.6,0.0,0.0,0.0,,200.6,day,S,2026-05-16,actual
2026-05-16T21:00:00+03:00,12.6,1.5,0.0,94.5,0.0,0.0,0.0,,241.7,night,SW,2026-05-16,actual
2026-05-17T03:00:00+03:00,8.2,1.5,0.0,92.0,0.0,0.0,0.0,,296.2,night,NW,2026-05-17,actual
2026-05-17T09:00:00+03:00,10.6,1.2,0.0,90.1,0.0,0.0,0.0,,22.0,day,N,2026-05-17,actual
2026-05-17T15:00:00+03:00,12.6,2.1,0.0,85.8,0.0,0.0,0.0,,353.2,day,N,2026-05-17,actual
2026-05-17T21:00:00+03:00,10.4,2.3,0.0,86.4,0.0,0.0,0.0,,342.9,night,N,2026-05-17,actual
2026-05-18T03:00:00+03:00,8.4,2.5,0.0,90.6,0.0,0.0,0.0,,334.6,night,NW,2026-05-18,forecast
2026-05-18T09:00:00+03:00,9.4,4.7,9.5,89.7,0.0,0.0,0.0,cloudy,7.0,day,N,2026-05-18,forecast
2026-05-18T10:00:00+03:00,10.4,4.9,10.0,82.3,0.0,0.0,0.0,partlycloudy_day,7.0,day,N,2026-05-18,forecast
2026-05-18T11:00:00+03:00,11.0,5.3,11.1,79.4,0.0,0.0,0.0,cloudy,13.0,day,N,2026-05-18,forecast
2026-05-18T12:00:00+03:00,11.2,5.5,11.2,77.2,0.0,0.0,0.0,cloudy,9.0,day,N,2026-05-18,forecast
2026-05-18T13:00:00+03:00,10.7,5.4,11.2,79.6,0.0,0.5,0.0,cloudy,7.0,day,N,2026-05-18,forecast
2026-05-18T14:00:00+03:00,11.0,5.3,11.3,81.2,0.0,0.7,0.0,cloudy,359.0,day,N,2026-05-18,forecast
2026-05-18T15:00:00+03:00,11.3,3.8,10.5,83.1,0.0,2.4,0.4,rain,1.0,day,N,2026-05-18,forecast
2026-05-18T16:00:00+03:00,10.9,4.5,8.9,91.2,0.0,5.2,0.7,rain,356.0,day,N,2026-05-18,forecast
2026-05-18T17:00:00+03:00,10.4,4.5,9.3,93.8,0.1,4.5,1.9,heavyrain,353.0,day,N,2026-05-18,forecast
2026-05-18T18:00:00+03:00,10.4,3.7,8.7,96.4,0.2,4.4,2.2,heavyrain,349.0,day,N,2026-05-18,forecast
2026-05-18T19:00:00+03:00,10.2,5.3,10.2,96.7,0.5,3.9,2.7,heavyrain,347.0,night,N,2026-05-18,forecast
2026-05-18T20:00:00+03:00,10.2,6.3,13.1,96.6,0.5,5.7,5.5,heavyrain,0.0,night,N,2026-05-18,forecast
2026-05-18T21:00:00+03:00,10.2,5.5,12.6,97.0,0.1,5.8,3.4,heavyrain,2.0,night,N,2026-05-18,forecast
2026-05-18T22:00:00+03:00,9.9,4.6,11.0,98.1,0.0,6.6,1.1,heavyrain,21.0,night,N,2026-05-18,forecast
2026-05-18T23:00:00+03:00,9.8,6.3,12.7,95.0,0.0,5.2,0.1,lightrainandthunder,10.0,night,N,2026-05-18,forecast
2026-05-19T00:00:00+03:00,10.0,5.5,12.3,94.8,0.0,4.8,0.3,lightrain,3.0,night,N,2026-05-19,forecast
2026-05-19T01:00:00+03:00,10.4,3.8,10.7,95.0,0.0,5.9,0.4,lightrainandthunder,346.0,night,N,2026-05-19,forecast
2026-05-19T02:00:00+03:00,10.3,2.8,7.6,97.1,0.0,4.5,0.2,lightrain,325.0,night,NW,2026-05-19,forecast
2026-05-19T03:00:00+03:00,10.0,3.6,7.1,97.4,0.0,0.3,0.0,cloudy,344.0,night,N,2026-05-19,forecast
2026-05-19T04:00:00+03:00,10.2,2.3,7.1,98.2,0.0,0.0,0.0,cloudy,336.0,night,NW,2026-05-19,forecast
2026-05-19T05:00:00+03:00,10.3,1.8,4.7,98.9,0.0,0.0,0.0,cloudy,326.0,night,NW,2026-05-19,forecast
2026-05-19T06:00:00+03:00,10.5,1.1,3.6,99.6,0.0,0.0,0.0,cloudy,329.0,night,NW,2026-05-19,forecast
2026-05-19T07:00:00+03:00,10.8,0.5,2.2,99.8,0.0,0.2,0.0,cloudy,319.0,day,NW,2026-05-19,forecast
2026-05-19T08:00:00+03:00,11.3,0.5,1.2,99.5,0.0,0.6,0.0,cloudy,230.0,day,SW,2026-05-19,forecast
2026-05-19T09:00:00+03:00,12.2,1.3,2.9,99.1,0.0,0.0,0.0,cloudy,231.0,day,SW,2026-05-19,forecast
2026-05-19T10:00:00+03:00,12.9,1.6,3.8,95.7,0.0,0.0,0.0,cloudy,223.0,day,SW,2026-05-19,forecast
2026-05-19T11:00:00+03:00,13.9,1.2,3.8,97.9,0.0,0.0,0.0,cloudy,195.0,day,S,2026-05-19,forecast
2026-05-19T12:00:00+03:00,14.3,1.6,3.6,96.7,0.0,0.0,0.0,cloudy,208.0,day,SW,2026-05-19,forecast
2026-05-19T13:00:00+03:00,15.1,2.1,4.6,94.6,0.0,0.0,0.0,cloudy,185.0,day,S,2026-05-19,forecast
2026-05-19T14:00:00+03:00,14.9,2.5,5.3,94.4,0.0,0.0,0.0,cloudy,201.0,day,S,2026-05-19,forecast
2026-05-19T15:00:00+03:00,15.0,2.5,5.6,92.1,0.0,0.0,0.0,cloudy,210.0,day,SW,2026-05-19,forecast
2026-05-19T16:00:00+03:00,14.7,2.5,5.4,93.3,0.0,0.0,0.0,cloudy,209.0,day,SW,2026-05-19,forecast
2026-05-19T17:00:00+03:00,14.5,3.0,6.4,94.2,0.0,0.0,0.0,cloudy,219.0,day,SW,2026-05-19,forecast
2026-05-19T18:00:00+03:00,13.8,3.3,7.1,92.2,0.0,0.0,0.0,cloudy,234.0,day,SW,2026-05-19,forecast
2026-05-19T19:00:00+03:00,13.3,3.5,7.6,92.2,0.0,0.0,0.0,cloudy,245.0,night,SW,2026-05-19,forecast
2026-05-19T20:00:00+03:00,12.6,3.6,7.9,92.7,0.0,0.0,0.0,cloudy,252.0,night,W,2026-05-19,forecast
2026-05-19T21:00:00+03:00,12.0,3.3,7.9,92.9,0.0,0.0,0.0,cloudy,257.0,night,W,2026-05-19,forecast
2026-05-19T22:00:00+03:00,11.6,2.7,7.2,93.2,0.0,0.0,0.0,cloudy,259.0,night,W,2026-05-19,forecast
2026-05-19T23:00:00+03:00,11.3,2.6,5.9,93.0,0.0,0.0,0.0,cloudy,265.0,night,W,2026-05-19,forecast
2026-05-20T00:00:00+03:00,10.8,2.4,5.6,93.4,0.0,0.0,0.0,cloudy,267.0,night,W,2026-05-20,forecast
2026-05-20T01:00:00+03:00,10.5,2.4,5.5,92.1,0.0,0.0,0.0,cloudy,277.0,night,W,2026-05-20,forecast
2026-05-20T02:00:00+03:00,10.4,2.3,5.1,90.9,0.0,0.0,0.0,cloudy,292.0,night,W,2026-05-20,forecast
2026-05-20T03:00:00+03:00,10.3,1.6,4.7,91.2,0.0,0.0,0.0,cloudy,277.0,night,W,2026-05-20,forecast
2026-05-20T04:00:00+03:00,10.1,1.4,3.3,92.5,0.0,0.0,0.0,cloudy,266.0,night,W,2026-05-20,forecast
2026-05-20T05:00:00+03:00,10.0,1.5,3.3,92.7,0.0,0.0,0.0,cloudy,283.0,night,W,2026-05-20,forecast
2026-05-20T06:00:00+03:00,10.1,1.1,3.1,92.8,0.0,0.0,0.0,cloudy,296.0,night,NW,2026-05-20,forecast
2026-05-20T07:00:00+03:00,10.5,1.3,2.8,90.1,0.0,0.0,0.0,cloudy,308.0,day,NW,2026-05-20,forecast
2026-05-20T08:00:00+03:00,11.5,1.7,3.7,84.9,0.0,0.0,0.0,cloudy,325.0,day,NW,2026-05-20,forecast
2026-05-20T09:00:00+03:00,12.5,1.2,3.8,81.6,0.0,0.0,0.0,cloudy,347.0,day,N,2026-05-20,forecast
2026-05-20T10:00:00+03:00,13.3,1.4,3.5,78.9,0.0,0.0,0.0,cloudy,42.0,day,NE,2026-05-20,forecast
2026-05-20T11:00:00+03:00,13.3,1.9,4.8,77.9,0.0,0.0,0.0,cloudy,47.0,day,NE,2026-05-20,forecast
2026-05-20T12:00:00+03:00,13.8,1.6,5.0,77.3,0.0,0.0,0.0,cloudy,36.0,day,NE,2026-05-20,forecast
2026-05-20T13:00:00+03:00,14.4,2.0,5.3,76.4,0.0,0.0,0.0,cloudy,35.0,day,NE,2026-05-20,forecast
2026-05-20T14:00:00+03:00,14.3,1.9,5.1,75.9,0.0,0.0,0.0,cloudy,44.0,day,NE,2026-05-20,forecast
2026-05-20T15:00:00+03:00,14.1,2.1,5.5,73.3,0.0,0.0,0.0,,58.0,day,NE,2026-05-20,forecast
2026-05-20T21:00:00+03:00,11.7,1.2,0.0,84.6,0.0,0.0,0.0,,346.4,night,N,2026-05-20,forecast
2026-05-21T03:00:00+03:00,8.8,1.6,0.0,87.7,0.0,0.0,0.0,,328.4,night,NW,2026-05-21,forecast
2026-05-21T09:00:00+03:00,13.7,1.0,0.0,79.5,0.0,0.0,0.0,,341.7,day,N,2026-05-21,forecast
2026-05-21T15:00:00+03:00,15.6,1.9,0.0,76.7,0.0,0.0,0.0,,70.7,day,E,2026-05-21,forecast
2026-05-21T21:00:00+03:00,13.6,1.0,0.0,81.6,0.0,0.0,0.0,,337.5,night,N,2026-05-21,forecast
2026-05-22T03:00:00+03:00,9.9,2.6,0.0,92.1,0.0,0.0,0.0,,258.4,night,W,2026-05-22,forecast
2026-05-22T09:00:00+03:00,14.3,2.1,0.0,83.5,0.0,0.0,0.0,,256.7,day,W,2026-05-22,forecast
2026-05-22T15:00:00+03:00,16.1,2.2,0.0,74.6,0.0,0.0,0.0,,71.9,day,E,2026-05-22,forecast
2026-05-22T21:00:00+03:00,14.2,2.0,0.0,84.9,0.0,0.0,0.0,,278.2,night,W,2026-05-22,forecast
2026-05-23T03:00:00+03:00,10.0,2.9,0.0,91.2,0.0,0.0,0.0,,255.6,night,W,2026-05-23,forecast
2026-05-23T09:00:00+03:00,15.3,2.1,0.0,81.1,0.0,0.0,0.0,,279.8,day,W,2026-05-23,forecast
2026-05-23T15:00:00+03:00,16.7,2.0,0.0,78.0,0.0,0.0,0.0,,70.1,day,E,2026-05-23,forecast
2026-05-23T21:00:00+03:00,14.3,1.7,0.0,88.0,0.0,0.0,0.0,,344.5,night,N,2026-05-23,forecast
2026-05-24T03:00:00+03:00,10.8,2.0,0.0,90.7,0.0,0.0,0.0,,249.0,night,W,2026-05-24,forecast
2026-05-24T09:00:00+03:00,16.1,1.7,0.0,81.0,0.0,0.0,0.0,,248.7,day,W,2026-05-24,forecast
2026-05-24T15:00:00+03:00,17.6,2.4,0.0,73.8,0.0,0.0,0.0,,76.0,day,E,2026-05-24,forecast
2026-05-24T21:00:00+03:00,15.3,2.0,0.0,84.5,0.0,0.0,0.0,,333.2,night,NW,2026-05-24,forecast
